1984, Джордж Оруэлл
Убить пересмешника, Харпер Ли
Великий Гэтсби, Фрэнсис Скотт Фицджеральд
Гордость и предубеждение, Джейн Остин
Над пропастью во ржи, Джером Сэлинджер
Властелин колец, Джон Рональд Руэл Толкин
Гарри Поттер и философский камень, Джоан Роулинг
Война миров, Герберт Уэллс
Превращение, Франц Кафка
Процесс, Франц Кафка
Три товарища, Эрих Мария Ремарк
На Западном фронте без перемен, Эрих Мария Ремарк
Маленький принц, Антуан де Сент-Экзюпери
Посторонний, Альбер Камю
Чума, Альбер Камю
Сто лет одиночества, Габриэль Гарсиа Маркес
Старик и море, Эрнест Хемингуэй
Прощай, оружие!, Эрнест Хемингуэй
Улисс, Джеймс Джойс
Моби Дик, Герман Мелвилл
В поисках утраченного времени, Марсель Пруст
Грозовой перевал, Эмили Бронте
Джейн Эйр, Шарлотта Бронте
Граф Монте-Кристо, Александр Дюма
Три мушкетёра, Александр Дюма
Отверженные, Виктор Гюго
Собор Парижской Богоматери, Виктор Гюго
Фауст, Иоганн Вольфганг Гёте
Божественная комедия, Данте Алигьери
Декамерон, Джованни Боккаччо
Дон Кихот, Мигель де Сервантес
