Война и мир, Лев Толстой
Преступление и наказание, Фёдор Достоевский
Мастер и Маргарита, Михаил Булгаков
Анна Каренина, Лев Толстой
Мёртвые души, Николай Гоголь
Отцы и дети, Иван Тургенев
Евгений Онегин, Александр Пушкин
Герой нашего времени, Михаил Лермонтов
Тихий Дон, Михаил Шолохов
Доктор Живаго, Борис Пастернак
Идиот, Фёдор Достоевский
Братья Карамазовы, Фёдор Достоевский
Обломов, Иван Гончаров
Капитанская дочка, Александр Пушкин
Ревизор, Николай Гоголь
Человек в футляре, Антон Чехов
Вишнёвый сад, Антон Чехов
На дне, Максим Горький
Двенадцать стульев, Ильф и Петров
Золотой телёнок, Ильф и Петров
Петр Первый, Алексей Толстой
Хождение по мукам, Алексей Толстой
Мы, Евгений Замятин
Лолита, Владимир Набоков
Дар, Владимир Набоков
Жизнь и судьба, Василий Гроссман
Один день Ивана Денисовича, Александр Солженицын
Архипелаг ГУЛАГ, Александр Солженицын
Москва - Петушки, Венедикт Ерофеев
Generation П, Виктор Пелевин
